taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5144534	Geometra papilionaria (Linnaeus, 1758)	5144534	Geometra papilionaria (Linnaeus, 1758)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Geometra	1966929	Geometra papilionaria	5144534	NE
5145269	Scopula virgulata (Denis & Schiffermüller), 1775	5145269	Scopula virgulata (Denis & Schiffermüller), 1775	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Scopula	1970574	Scopula virgulata	5145269	NE
5300136	Gagea minima (L.) Ker Gawl.	5300136	Gagea minima (L.) Ker Gawl.	35	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Liliaceae	7699	Gagea	2751406	Gagea minima	5300136	NE
5329192	Stratiotes aloides L.	5329192	Stratiotes aloides L.	19	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Hydrocharitaceae	3721	Stratiotes	2864769	Stratiotes aloides	5329192	LC
5377317	Matthiola odoratissima (Pall. ex M.Bieb.) W.T.Aiton	5377317	Matthiola odoratissima (Pall. ex M.Bieb.) W.T.Aiton	45	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Matthiola	3052933	Matthiola odoratissima	5377317	NE
5584861	Otites eugeniae (Kleopow) Klokov	5588222	Silene eugeniae Kleopow	8	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Silene	3085897	Silene eugeniae	5588222	NE
5810729	Chlaenius nitidulus (Schrank, 1781)	5810729	Chlaenius nitidulus (Schrank, 1781)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Chlaenius	4988973	Chlaenius nitidulus	5810729	NE
7486196	Ramaria botrytis (Pers.) Bourdot	7486196	Ramaria botrytis (Pers.) Bourdot	2	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Gomphales	1303	Gomphaceae	8467	Ramaria	2521461	Ramaria botrytis	7486196	NE
8053718	Epilobium angustifolium L.	7322650	Chamaenerion angustifolium subsp. angustifolium	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Onagraceae	2430	Chamaenerion	8406741	Chamaenerion angustifolium	6428353	LC
8361848	Epirrhoe alternata (Müller, 1764)	8361848	Epirrhoe alternata (Müller, 1764)	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Epirrhoe	1964577	Epirrhoe alternata	8361848	NE
8708866	Centaurea psammogena Gáyer	8708866	Centaurea psammogena Gáyer	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Centaurea	3127469	Centaurea psammogena	8708866	NE
1069458	Chilothorax distinctus (Müller, 1776)	1069458	Chilothorax distinctus (Müller, 1776)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Chilothorax	1069380	Chilothorax distinctus	1069458	NE
1427721	Crocothemis erythraea Brullé, 1832	1427721	Crocothemis erythraea Brullé, 1832	28	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Crocothemis	8954298	Crocothemis erythraea	1427721	LC
2133779	Trachyzelotes pedestris (C.L.Koch, 1837)	2133779	Trachyzelotes pedestris (C.L.Koch, 1837)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Gnaphosidae	7370	Trachyzelotes	2133775	Trachyzelotes pedestris	2133779	NE
2149989	Pholcus ponticus Thorell, 1875	2149989	Pholcus ponticus Thorell, 1875	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Pholcidae	5638	Pholcus	2149911	Pholcus ponticus	2149989	NE
2209413	Chaetophiloscia sicula Verhoeff, 1908	2209413	Chaetophiloscia sicula Verhoeff, 1908	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Isopoda	643	Philosciidae	8896	Chaetophiloscia	2209397	Chaetophiloscia sicula	2209413	NE
2287072	Dreissena polymorpha (Pallas, 1771)	2287072	Dreissena polymorpha (Pallas, 1771)	10	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Myida	9241244	Dreissenidae	6852	Dreissena	2287071	Dreissena polymorpha	2287072	LC
2650594	Asplenium adiantum-nigrum L.	2650594	Asplenium adiantum-nigrum L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Aspleniaceae	6625	Asplenium	2650583	Asplenium adiantum-nigrum	2650594	NE
4249925	Centaurea phrygia subsp. abbreviata (K.Koch) Dostál	4249925	Centaurea phrygia subsp. abbreviata (K.Koch) Dostál	1	SUBSPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Centaurea	3127469	Centaurea phrygia	8305028	
4433381	Margarinotus bipustulatus (Schrank, 1781)	4433381	Margarinotus bipustulatus (Schrank, 1781)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Histeridae	4733	Margarinotus	1044963	Margarinotus bipustulatus	4433381	NE
4490331	Eutomostethus ephippium (Panzer, 1798)	4490331	Eutomostethus ephippium (Panzer, 1798)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Tenthredinidae	7918	Eutomostethus	8812958	Eutomostethus ephippium	4490331	NE
4505858	Colpa sexmaculata (Fabricius, 1781)	1311515	Vespa sexmaculata Müller, 1766	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Vespidae	4490	Vespa	1311334	Vespa sexmaculata	1311515	NE
5099017	Mecostethus grossus (Linnaeus, 1758)	1711091	Stethophyma grossum (Linnaeus, 1758)	9	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Acrididae	9394	Stethophyma	1711084	Stethophyma grossum	1711091	NE
5300090	Gagea pusilla (F.W.Schmidt) Sweet	5300090	Gagea pusilla (F.W.Schmidt) Sweet	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Liliales	1172	Liliaceae	7699	Gagea	2751406	Gagea pusilla	5300090	NE
5384676	Stellaria holostea L.	11071158	Rabelera holostea (L.) M.T.Sharples & E.A.Tripp	26	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Rabelera	11086674	Rabelera holostea	11071158	NE
5538587	Pimpinella saxifraga subsp. nigra (Mill.) Gaudin	5539078	Pimpinella nigra Mill.	4	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Apiaceae	6720	Pimpinella	3034784	Pimpinella nigra	5539078	
7322563	Epilobium tetragonum L.	7322563	Epilobium tetragonum L.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Onagraceae	2430	Epilobium	3189067	Epilobium tetragonum	7322563	NE
7412043	Calopteryx splendens Harris, 1780	7412043	Calopteryx splendens Harris, 1780	77	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Calopterygidae	4211	Calopteryx	1427007	Calopteryx splendens	7412043	LC
7456165	Rhynchites bacchus (C.Linnaeus, 1758)	7456165	Rhynchites bacchus (C.Linnaeus, 1758)	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Attelabidae	4208	Rhynchites	9124726	Rhynchites bacchus	7456165	NE
7746901	Silene otites (L.) Wibel	7746901	Silene otites (L.) Wibel	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Silene	3085897	Silene otites	7746901	NE
7918000	Ulochlaena hirta Hübner, 1813	7918000	Ulochlaena hirta Hübner, 1813	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Ulochlaena	1793571	Ulochlaena hirta	7918000	NE
8309397	Paronychia cephalotes (M.Bieb.) Besser	8309397	Paronychia cephalotes (M.Bieb.) Besser	79	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Paronychia	8020237	Paronychia cephalotes	8309397	NE
1309691	Neuroterus numismalis (Fourcroy, 1785)	1309691	Neuroterus numismalis (Fourcroy, 1785)	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Cynipidae	4339	Neuroterus	1309690	Neuroterus numismalis	1309691	NE
1325195	Crematogaster schmidti (Mayr, 1853)	1325195	Crematogaster schmidti (Mayr, 1853)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Crematogaster	1324306	Crematogaster schmidti	1325195	NE
2076087	Anoecia corni Fabricius, 1775	2076087	Anoecia corni Fabricius, 1775	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Aphididae	3042	Anoecia	2076073	Anoecia corni	2076087	NE
2195622	Suctobelbella alloenasuta Moritz, 1971	2195622	Suctobelbella alloenasuta Moritz, 1971	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Suctobelbidae	3653	Suctobelbella	2195585	Suctobelbella alloenasuta	2195622	NE
2286060	Ostrea edulis Linnaeus, 1758	2286060	Ostrea edulis Linnaeus, 1758	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Ostreida	9485611	Ostreidae	6871	Ostrea	2286059	Ostrea edulis	2286060	NE
2553117	Stereum rugosum Pers.	2553117	Stereum rugosum Pers.	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Stereaceae	3279	Stereum	2513764	Stereum rugosum	2553117	NE
2554318	Myriostoma coliforme (Dicks.) Corda	2554318	Myriostoma coliforme (Dicks.) Corda	3	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Geastrales	1064	Geastraceae	4199	Myriostoma	2554317	Myriostoma coliforme	2554318	NE
3064644	Euphorbia carniolica Jacq.	3064644	Euphorbia carniolica Jacq.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Euphorbia	11397237	Euphorbia carniolica	3064644	NE
3128547	Centaurea jacea L.	3128547	Centaurea jacea L.	172	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Centaurea	3127469	Centaurea jacea	3128547	NE
